,date,title,contents
0,2019.09.30.,텅 빈 인천 차이나타운…서울 화교 상권 확장에 경기 불황 겹치며 발길 '뚝',그러나 이미 발길은 인천이 아닌 서울에 있는 화교 상권으로 옮겨가는 추세다. 차이나타운과 함께 화교 근거지의 양대산맥으로 꼽히는 연희동과 연남동의 일부 가게는 예약 없이는 갈 수 없는 곳도 있을 정도다. 직장인...
1,2019.09.30.,서울 접근성 좋은 역세권 ‘안양예술공원 두산위브’ 주목,"역세권 입지는 차량, 버스 등 기타 교통수단 대비 빠르고 편리한 서울 접근성 이외에도 생활 편의성이 뛰어나다는 장점이 있다. 교통이 편리하고 유동인구가 풍부한 역 주변으로 상권과 생활 인프라가 안정적으로..."
2,2019.09.30.,[프로야구 시즌에도 텅 빈 고척스카이돔] 공실률 81%인데도 임대료 올리는 서...,전문가들은 서울시 시설관리공단의 상가 운영 전문성이 부족해 ‘고척스카이돔’ 상권이 계속 침체되고 있다고 지적한다. ‘고척스카이몰’ 지하상가 빈 점포 앞에 ‘리모델링 대상구역’ ‘철거 예정’이라고 적힌...
3,2019.09.28.,헌책방 살리기에 나선 서울책보고의 실험,서울의 대표적인 헌책방거리인 청계천 평화시장 주변 거리는 1960년대부터 본격적으로 상권이 형성돼 책이 귀하던 시대였던 1970년대 200개가 넘는 책방들이 성업했다. 주머니가 가벼운 학생들을 위한 각종 참고서나...
4,2019.09.24.,"서울신용보증재단, 분쟁조정정보로 소상공인 지원","조정원은 재단의 '서울시 우리마을가게 상권분석서비스' 속 서울시 소상공인의 개·폐업률, 창업 생존율, 임대료 등 소상공인 경영정보와 분석 기술을 제공받는다. 조정원을 이를 통해 분쟁조정 교육을 개선한다. 양 기관은..."
5,2019.09.30.,[우리동네 지역전문가] 교통망·상권·문화시설 확충되며 서울 동남권의 핵심...,"‘강동구 고덕동’도 서울 동남권 끝자락에 위치해 그간 크게 주목받지 못했지만, 교통망의 확대로 생활 편의성이 크게 향상된 지역 중 하나다. 동시에 대규모 상권 및 문화시설이 예정돼 눈길을 끈다. 고덕동..."
6,2019.09.26.,"진격의 현대리바트… ""이번엔 서울 강서상권 공략""","지난달 서울 강남구 논현동에 대형 전시장을 오픈한 데 이어 이번에는 서울 강서구 마곡지구와 양천구 목동... 현대리바트 관계자는 “양천구, 강서구 등 강서상권은 신구 주택이 공존하는 지역으로, 기존 노후 주택..."
7,2019.09.25.,'서울로 7017' 개장 2년4개월 만에 방문객 2000만명 돌파,'서울로 7017' 조성으로 보행 인구가 증가하면서 주변 상권도 살아나는 추세다. 가장 두드러지는 상권의 변화는 만리동 지역에서 나타난다. 젊은 감각의 카페나 식당들이 다수 문을 열었고 새로운 고층빌딩이 들어서는...
8,2019.09.27.,"IBK기업은행, 서울 염천교 수제화거리 45곳에 디자인 재능 기부","거리 전체의 노후 간판 정비 등을 통해 도시재생과 상권 활성화를 지원하기 위해서다. 기업은행 관계자는 염천교 수제화거리 선정 이유에 대해 “이 거리는 1925년에 조성된 최초의 수제화 유통단지로, 지난 13년 서울미..."
9,2019.09.19.,서울 청년 165인의 특별한 `창업실험`,"김병민 경희대 행정학과 겸임교수는 ""서울시가 예산까지 투입해가면서 다른 지방 창업을 돕는 것이 적절한지 의문이 든다""며 ""서울 시내에도청년들의 독특한 아이디어 창업으로 살릴 수 있는 상권이 무궁무진한데, 지방..."
10,2019.09.19.,서울 ‘학원 일요휴무제’ 추진…학습권 침해 논란,"서울시교육청이 19일 공론화 작업을 거쳐 ‘학원 일요 강제 휴무제’ 도입 여부를 결정하기로 했다.... 골목상권을 살리고자 대형마트 문을 닫게 했더니 온라인시장이 활성화됐듯, 학원이 문을 닫아도 과외나 개인학습을..."
11,2019.09.22.,'동대문 의류상가 화재' 서울 곳곳 매캐한 냄새 왜?,""" 현장을 방문한 박원순 서울시장은 화재 진압에 최선을 다해달라며 예비비 투입 등 상권 회복을 위한 대책을 마련할 것을 주문했습니다. MBN뉴스 김경기입니다. 영상취재 : 조영민 기자 영상편집 : 송현주"
12,2019.09.25.,서울 속 지구촌 '외국인 마을',거대한 상권을 갖췄다. 탄탄한 중국인 수요에 한국인들의 발길이 더해지고 있기 때문이다. '서울 속 작은 중국'으로 불리는 이곳을 중국문화예술거리로 탈바꿈시키려는 움직임도 본격화하고 있다. 혜화동 필리핀 마을...
