,station,line,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y
370,올림픽공원(한국체대),경인선,11214,7739,7244,7689,9203,9809,37.516078,127.130848
371,왕십리(성동구청),경인선,23299,15455,16225,16163,22281,27789,37.561533,127.037732
372,외대앞,경인선,18901,10289,13477,11704,12052,17422,37.596073,127.063549
373,용답,경인선,8514,2550,3882,3284,2642,6476,37.561904,127.050899
374,용두(동대문구청),경인선,5309,3965,3857,3710,3288,4507,37.574028,127.038091
375,용마산(용마폭포공원),경춘선,21306,6136,6890,6108,4696,14036,37.573647,127.086727
376,용문,경춘선,3534,2880,5785,5772,2737,3054,37.48223,127.594647
377,용산,경춘선,26276,101028,50464,61002,99693,47114,37.529849,126.964561
378,우장산,경춘선,46350,16751,21403,17364,13973,34553,37.548768,126.836318
379,운길산,경춘선,1375,1663,2066,2022,1454,920,37.554669,127.310115
380,운서,경춘선,14865,10296,9709,7221,9272,14984,37.492904,126.49379
381,운정,경춘선,20728,6501,7730,6047,5939,14784,37.725826,126.767257
382,원당,경춘선,38088,10012,16072,12889,10107,27418,37.653324,126.843041
383,원덕,경춘선,923,536,793,694,400,690,37.468672,127.547076
384,원인재,경춘선,12157,5236,6262,5794,5351,10617,37.412603,126.687389
385,원흥,경춘선,31241,8950,12137,9497,9271,21716,37.650658,126.872642
386,월계,경춘선,18048,8324,10165,8035,6821,13222,37.633212,127.058831
387,월곡(동덕여대),경춘선,35067,15595,15666,14090,14860,25964,37.601948,127.041518
388,월곶,경춘선,6988,2491,3470,3172,3248,5401,37.391769,126.742699
389,월드컵경기장(성산),경춘선,8196,8129,9762,12121,10463,9510,37.569532,126.899298
390,월롱,경춘선,2103,8301,3100,2037,6413,2517,37.796188,126.792587
391,을지로3가,경춘선,5968,69076,17529,18790,48692,12952,37.566295,126.99191
392,을지로4가,경춘선,3582,35368,12523,13528,25633,5407,37.566941,126.998079
393,을지로입구,공항철도 1호선,12622,182785,47194,54524,137331,32183,37.566014,126.982618
394,응봉,공항철도 1호선,6108,1800,2617,2103,1857,3770,37.549946,127.034538
395,응암,공항철도 1호선,64861,12977,23192,19053,15410,47750,37.598605,126.915577
396,의왕,공항철도 1호선,23558,19583,10473,8368,14527,18102,37.320852,126.948217
397,의정부,공항철도 1호선,37190,27479,29563,32790,32916,40252,37.738415,127.045958
398,이대,공항철도 1호선,20016,29216,23859,26543,30529,23815,37.556733,126.946013
399,이매,공항철도 1호선,8068,6065,4995,4040,5202,6221,37.396104,127.12827
400,이수,공항철도 1호선,31411,27989,21070,20508,29178,32306,37.486263,126.981989
401,이천,공항철도 1호선,5682,5181,4084,3656,4155,5396,37.265579,127.44226
402,이촌(국립중앙박물관),공항철도 1호선,10916,12531,9492,8716,10776,9749,37.522272,126.974345
403,이태원,공항철도 1호선,12363,19069,14890,19138,27591,28568,37.534488,126.994302
404,인덕원,과천선,62448,55658,29382,23407,40776,51417,37.401553,126.976715
405,인천,과천선,3098,4343,4703,5338,4918,2787,37.476691,126.616936
406,인천공항1터미널,과천선,10502,20633,14561,15817,17852,10576,37.44899,126.45811
407,인천공항2터미널,과천선,4529,8717,4942,5586,8557,2894,37.48632,126.43932
408,인천논현,과천선,11642,10489,8021,8309,9662,11763,37.400614,126.722478
409,인하대,과천선,14563,7563,7880,6978,7581,11931,37.448493,126.649619
410,일산,과천선,31661,9209,11712,9675,7799,23405,37.682077,126.769846
411,일원,분당선,18944,22259,16586,13051,13189,13604,37.483681,127.08439
412,임진강,분당선,5,41,59,71,79,15,37.88906,126.74746
413,잠실(송파구청),분당선,68786,87157,56434,65354,100475,79409,37.51395,127.102234
414,잠실나루,분당선,37340,27880,22483,18693,20278,25797,37.520733,127.10379
415,잠실새내,분당선,56354,23935,29560,30341,32196,52771,37.511687,127.086162
416,잠원,분당선,15281,8205,8323,6819,7505,11222,37.512759,127.01122
417,장승배기,분당선,32591,12514,13768,12317,11114,22972,37.504898,126.93915
418,장암,분당선,10147,1684,2373,1441,2107,1874,37.700109,127.053196
419,장지,분당선,43313,34356,21412,22272,31968,31971,37.478703,127.126191
420,장한평,분당선,49067,38376,21361,19458,29910,36190,37.56144,127.064623
421,정릉,분당선,12862,4265,6955,5318,4645,9631,37.602798,127.01349
422,정발산,분당선,8547,14649,12395,14255,16764,13057,37.659477,126.773359
423,정부과천청사,분당선,14767,35004,14266,11050,23740,13736,37.426513,126.98978
424,정왕,분당선,13785,22771,11836,10368,16472,13982,37.351735,126.742989
425,정자,분당선,27365,43387,19775,19124,34880,31493,37.36706,127.108105
426,제기동,분당선,24442,32638,39831,42310,25596,18770,37.578103,127.034893
427,제물포,분당선,28764,18156,15388,11150,13643,21378,37.466769,126.656666
428,종각,분당선,9014,152260,42035,47571,117238,28919,37.570161,126.982923
429,종로3가,분당선,5139,40920,26872,36634,46489,16712,37.571607,126.991806
430,종로5가,분당선,8034,69470,41981,46396,58971,17318,37.570926,127.001849
431,종합운동장,분당선,13785,12386,9053,9444,12574,14912,37.510997,127.073642
432,주안,분당선,51124,24923,29289,22102,29143,44152,37.464941,126.679923
433,주엽,분당선,22196,11764,14870,13822,10299,18907,37.670072,126.761334
434,죽전,분당선,33571,20073,18827,21004,24195,33177,37.324753,127.107395
435,중계,분당선,51963,17737,19884,14430,12715,32800,37.644583,127.064303
436,중곡,분당선,33783,12794,13607,10636,10435,21956,37.565923,127.08432
437,중동,분당선,31272,9267,12319,10287,8751,22059,37.486562,126.764843
438,중랑,분당선,18611,4728,7902,6767,5143,13912,37.594917,127.076116
439,중앙,분당선,37168,23819,22940,23367,27398,41215,37.315941,126.838573
440,중앙보훈병원,분당선,26120,12353,13263,9810,8254,15287,37.52693,127.1477
441,중화,분당선,36699,13813,14565,12240,12518,26639,37.602545,127.079264
442,증미,수인선,16081,16546,8673,7875,12277,12810,37.557402,126.861939
443,증산(명지대앞),수인선,36660,7772,13560,11341,9116,26520,37.583876,126.909645
444,지축,수인선,5530,1343,2084,1585,1245,3913,37.648048,126.913951
445,지평,수인선,170,131,136,117,48,68,37.476444,127.629617
446,지행,수인선,18751,7930,9733,8364,8083,15638,37.892334,127.055716
447,직산,수인선,1430,2119,1158,996,1535,1349,36.870593,127.143904
448,진위,수인선,2427,5043,1842,1217,3999,1945,37.109447,127.062278
449,창동,수인선,38198,14849,19502,18933,15739,33748,37.653166,127.047731
450,창신,수인선,13007,4828,4406,3218,3345,6269,37.579661,127.015241
451,천마산,수인선,5710,1546,2405,2046,1230,3791,37.658978,127.285379
452,천안,수인선,8929,8636,11619,11330,10182,10180,36.810005,127.146826
453,천왕,수인선,40540,8941,12388,9960,8265,25726,37.486637,126.838713
454,천호(풍납토성),수인선,36421,26233,24802,26889,31189,41311,37.538397,127.123572
455,철산,수인선,72692,23992,27383,25417,26638,59521,37.47605,126.867911
456,청구,수인선,7713,11181,4987,4336,7547,6020,37.560245,127.013828
457,청담,안산선,12397,98726,21063,22314,56937,14955,37.519365,127.05335
458,청라국제도시,안산선,19107,9576,6873,4668,8496,15014,37.555878,126.625327
459,청량리(서울시립대입구),안산선,34342,25124,35122,37416,28632,32777,37.580178,127.046835
460,청명,안산선,13828,5526,5131,4057,4913,9578,37.259489,127.078934
461,청평,안산선,3733,2884,3724,3346,2353,3063,37.735488,127.42661
462,초월,안산선,10080,3398,3550,2473,2869,6991,37.374419,127.299
463,초지,안산선,11957,9118,5527,4770,6045,8987,37.320646,126.805913
464,총신대입구(이수),안산선,47146,30748,28573,30078,30203,47563,37.486263,126.981989
465,춘의,안산선,20177,31049,9314,7572,20075,14220,37.503663,126.787036
466,춘천,안산선,1931,2626,3756,3272,2933,1998,37.885054,127.717023
467,충무로,안산선,6399,55041,16132,18945,40526,11850,37.561243,126.99428
468,충정로(경기대입구),우이신설선,11606,27203,9041,7908,16847,10105,37.559973,126.963672
469,탄현,우이신설선,25381,6955,9443,7059,7074,20145,37.694023,126.761086
470,태릉입구,우이신설선,18361,9618,9869,8722,9686,15696,37.617983,127.07512
471,태평,우이신설선,46967,12366,18622,16770,13005,33173,37.440019,127.127709
472,퇴계원,우이신설선,13555,3511,4562,3648,3336,8641,37.648311,127.143952
473,파주,우이신설선,2501,3570,2398,1400,2608,1321,37.815298,126.792783
474,판교,우이신설선,3270,17406,3976,4896,13433,3393,37.394761,127.111217
475,팔당,우이신설선,1303,2422,1787,2208,2255,1199,37.547371,127.243939
476,평내호평,우이신설선,18628,6589,7871,6835,6138,14482,37.653225,127.244493
477,평촌,일산선,41649,47425,18900,16222,32118,31137,37.394287,126.963883
478,평택,일산선,22944,17947,20194,20251,22369,24942,36.990726,127.085159
479,풍산,일산선,17191,5428,7250,5848,5667,12625,37.672346,126.786243
480,하계,일산선,58357,19970,26048,20921,18743,40911,37.636352,127.06799
481,하남풍산,일산선,10466,7738,4849,4816,6328,8154,37.55223,127.2038
482,학동,일산선,9955,118401,20900,24153,72423,13190,37.514229,127.031656
483,학여울,일산선,3512,5480,3835,3761,4059,2930,37.496663,127.070594
484,한강진,일산선,3855,25622,8112,14127,24037,11353,37.539631,127.001725
485,한남,장항선,5240,11731,6049,5295,9291,5545,37.52943,127.009169
486,한대앞,장항선,22383,11567,11737,10183,10937,19523,37.309689,126.85344
487,한성대입구(삼선교),장항선,31801,23636,22070,19069,21918,26955,37.588458,127.006221
488,한성백제,장항선,5608,3285,3242,2728,3642,4223,37.51664,127.11621
489,한양대,장항선,6631,30386,12956,15453,20432,8379,37.555273,127.043655
490,한티,장항선,19030,35990,18536,22041,31780,22711,37.496237,127.052873
491,합정,장항선,30390,46467,26422,32971,52813,43687,37.549463,126.913739
492,행당,중앙선,31431,6750,10511,8334,7042,19132,37.557322,127.029476
493,행신,중앙선,28001,6942,9075,7507,7839,21096,37.612102,126.834146
494,혜화,중앙선,20769,82007,48173,62785,87327,47104,37.582336,127.001844
495,호구포,중앙선,6086,12798,4323,3351,8398,5264,37.401637,126.708627
496,홍대입구,중앙선,23637,31305,27634,43199,56040,49194,37.557192,126.925381
497,홍제,중앙선,56615,18573,26778,21859,18700,41069,37.589066,126.943736
498,화계,중앙선,10851,3211,5166,4383,2818,7026,37.634802,127.017519
499,화곡,중앙선,107700,21905,36278,27668,25407,74800,37.541513,126.840461
500,화랑대(서울여대입구),중앙선,46641,9414,14656,9213,9388,24273,37.620064,127.084689
501,화서,중앙선,26849,7258,8989,7447,7166,20418,37.283862,126.989627
502,화전,중앙선,3462,4215,3216,2857,3516,2553,37.602888,126.868387
503,화정,중앙선,46724,20736,27022,25617,21369,42228,37.634592,126.83265
504,회기,중앙선,55331,38492,39953,32827,38368,50878,37.58946,127.057583
505,회룡,중앙선,42742,10009,18051,15949,9222,31395,37.724846,127.046895
506,회현(남대문시장),중앙선,8180,94383,43479,50474,67686,12694,37.558514,126.978246
507,효창공원앞,중앙선,11115,11623,6371,5605,8870,8140,37.539261,126.961351
508,흑석(중앙대입구),중앙선,16641,14265,13217,12056,13508,17214,37.50877,126.963708
