,station,line,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y
122,도심,5호선,9382,2922,3220,2245,2233,4731,37.579622,127.222672
123,도원,5호선,5867,9685,5993,4416,4933,4974,37.468446,126.642706
124,도화,5호선,12138,4793,5780,4781,4236,7861,37.46607,126.668672
125,독립문,5호선,16274,16191,13631,11955,9942,12576,37.574571,126.957748
126,독바위,5호선,10852,2694,3810,3499,1972,7759,37.618456,126.933031
127,독산,5호선,32544,58006,17045,14331,36059,27006,37.466613,126.889249
128,돌곶이,5호선,28432,10489,11663,9831,9389,19304,37.610537,127.056431
129,동대문,5호선,13092,40904,30947,33679,34731,17755,37.57142,127.009745
130,동대문역사문화공원(DDP),5호선,5072,28892,11663,13222,24351,10353,37.565138,127.007896
131,동대입구,5호선,6303,33047,12107,15720,25086,9331,37.559052,127.005602
132,동두천,5호선,4974,6182,3460,3382,2958,4016,37.927878,127.05479
133,동두천중앙,5호선,8303,6173,5604,4780,4110,5761,37.901885,127.056482
134,동묘앞,5호선,8908,17379,19684,20665,15715,9907,37.572627,127.016429
135,동암,5호선,47418,15527,22331,19138,17927,41458,37.471408,126.702896
136,동인천,5호선,31463,24263,23343,21006,24954,26642,37.475276,126.632802
137,동작(현충원),5호선,4873,3731,3627,3033,3423,3711,37.502971,126.979306
138,두정,5호선,10135,9441,8128,8063,8967,11030,36.833705,127.14896
139,둔촌동,5호선,21769,13832,11838,11030,12595,18148,37.527788,127.136248
140,둔촌오륜,5호선,2642,2016,1653,905,1249,1713,37.51972,127.13897
141,등촌,5호선,33329,11507,14597,12555,11023,25621,37.550632,126.865689
142,디지털미디어시티,5호선,17997,28984,8658,8123,20356,13702,37.576646,126.900984
143,뚝섬,6호선,21902,74287,21394,25601,54701,24590,37.547184,127.047367
144,뚝섬유원지,6호선,22637,8938,10474,12216,14922,20929,37.53154,127.066704
145,마곡,6호선,18112,20651,9835,8330,14890,12299,37.560183,126.825448
146,마곡나루(서울식물원),6호선,14442,24033,8436,7431,19525,13537,37.567336,126.829497
147,마두,6호선,14393,14840,13026,12016,11343,13290,37.652206,126.77762
148,마들,6호선,46621,8861,16062,12901,8259,30307,37.66494,127.057675
149,마석,6호선,11266,5997,5863,4977,4402,8309,37.652782,127.311767
150,마장,6호선,15593,10430,8241,6996,8020,10828,37.5661,127.042973
151,마천,6호선,19461,6887,7561,6974,5230,13007,37.49499,127.152781
152,마포,6호선,24993,41966,16042,14943,29959,23406,37.539574,126.945932
153,마포구청,6호선,39879,22053,18534,14920,20344,26071,37.563515,126.903343
154,망우,6호선,22462,9021,11373,10764,8878,17578,37.59955,127.091909
155,망원,6호선,28826,22113,19421,24692,25445,30037,37.556094,126.910052
156,망월사,6호선,22137,10904,12512,10738,8093,18007,37.709914,127.047455
157,망포,6호선,36487,24701,14566,11192,23756,29521,37.245795,127.057353
158,매교,6호선,6868,5438,3361,3006,3562,5125,37.265481,127.015678
159,매봉,6호선,15272,40374,13578,11643,28941,13459,37.486947,127.046769
160,매탄권선,6호선,14512,5777,5739,4167,5530,11249,37.252759,127.040566
161,먹골,6호선,34807,9419,13828,11891,10669,25892,37.610637,127.077725
162,면목,6호선,55734,16288,20151,17817,15437,38768,37.588579,127.087503
163,명동,6호선,9061,75113,34649,48154,73162,31292,37.560989,126.986325
164,명일,6호선,27478,8475,11850,10184,7817,21871,37.55137,127.143999
165,명학,6호선,19814,30131,9885,8276,18906,13954,37.384653,126.935433
166,모란,6호선,32590,16395,20250,19083,16959,25771,37.43213,127.129087
167,목동,6호선,54738,21480,22274,20749,20320,48747,37.526065,126.864931
168,몽촌토성(평화의문),6호선,10650,15902,7755,7763,11682,9236,37.517409,127.112359
169,무악재,6호선,13399,3953,5406,4541,3846,10116,37.582299,126.950291
170,문래,6호선,36677,66975,22394,21551,46131,31415,37.517933,126.89476
171,문산,6호선,13859,8865,8792,7783,7221,10790,37.854619,126.788047
172,문정,6호선,23406,90387,20370,18854,54492,20858,37.485855,127.1225
173,미금,6호선,26737,31612,25980,24130,26865,30464,37.350077,127.10891
174,미사,6호선,43627,12224,15236,12530,13906,35016,37.57222,127.20835
175,미아(서울사이버대학),6호선,46177,21526,22776,19250,18259,33599,37.62667,127.025983
176,미아사거리,6호선,85384,28065,40344,36436,35024,69223,37.613292,127.030053
177,반월,6호선,13911,4743,6298,5162,5066,10201,37.312212,126.903524
178,반포,6호선,9116,16413,8365,8620,13110,7490,37.508178,127.011727
179,발산,6호선,22765,57305,24459,24039,43758,27432,37.558598,126.837668
180,방배,7호선,27050,49221,24219,23283,37383,26977,37.481426,126.997596
181,방이,7호선,15389,14527,9204,9262,12192,14176,37.508857,127.126133
182,방학,7호선,26277,12564,14534,13077,10994,20770,37.667503,127.044273
183,방화,7호선,21943,8645,10161,7700,6647,15254,37.577446,126.812741
184,배방,7호선,2323,1307,1500,1374,1493,2102,36.777629,127.052991
185,백마,7호선,23313,7637,8199,6147,6522,16423,37.658239,126.794461
186,백석,7호선,20358,18116,16378,15265,17242,19696,37.643114,126.78787
187,백양리,7호선,104,339,348,308,257,113,37.830779,127.58933
188,백운,7호선,23944,7902,10922,9056,7350,18650,37.483664,126.707704
189,버티고개,7호선,5633,3607,3103,2680,3479,4411,37.548013,127.007055
190,범계,7호선,65483,40991,34157,33718,43954,58343,37.389793,126.950806
191,별내,7호선,7523,4515,3737,3227,3836,5393,37.64202,127.12684
192,병점,7호선,35849,20713,20467,16304,21914,33683,37.207503,127.032731
193,보라매,7호선,22933,23871,12436,9965,16178,17746,37.499872,126.920428
194,보문,7호선,11947,7635,6096,4818,6285,8325,37.585286,127.019381
195,보산,7호선,3987,2270,2733,1983,2308,3568,37.913702,127.057277
196,보정,7호선,8174,3427,3658,2441,2483,4703,37.312752,127.108196
197,복정,7호선,15633,7477,6721,4981,8131,10508,37.470047,127.126662
198,봉명,7호선,2285,3195,2227,1700,1428,1518,36.801215,127.135763
199,봉은사,7호선,8821,59562,19614,24054,48239,14432,37.514219,127.060245
200,봉천,7호선,87966,19698,31827,26597,23397,58128,37.482362,126.941892
201,봉화산(서울의료원),7호선,36451,8134,11334,9056,7450,22201,37.617283,127.091401
202,부개,7호선,29698,7822,11695,9663,7916,21090,37.488418,126.74109
203,부발,7호선,3833,3745,2741,1856,3312,3508,37.260192,127.490277
204,부천,7호선,91434,36054,49166,49645,47501,87089,37.48405,126.782686
205,부천시청,7호선,32971,19126,15279,15113,19561,27853,37.504631,126.763538
206,부천종합운동장,7호선,16067,7119,5775,4333,5650,8998,37.50538,126.797337
207,부평,7호선,70726,31329,44872,52763,51728,85706,37.489493,126.724805
208,부평구청,7호선,42544,9404,11686,7936,10234,24459,37.508336,126.720548
209,북한산보국문,7호선,18384,6216,8911,6589,6152,13584,37.612343,127.008009
210,북한산우이,7호선,7328,5197,5750,5066,3257,4054,37.663146,127.012789
211,불광,7호선,29150,15284,16665,17275,14616,25119,37.610469,126.929887
212,사가정,7호선,51443,17528,21496,18981,18208,40042,37.580894,127.088478
213,사당,7호선,74948,41049,42506,40156,53144,77183,37.47653,126.981685
214,사릉,7호선,12307,4847,4026,3211,3695,8039,37.65108,127.176933
215,사평,7호선,8020,4562,4589,3808,4374,6452,37.504206,127.015259
216,산본,7호선,44830,21720,22444,23106,22985,42579,37.358101,126.933274
217,산성,7호선,20389,6382,8293,6602,5603,14551,37.457122,127.149908
218,삼각지,7호선,7172,15070,7170,6447,12746,7802,37.534777,126.97311
219,삼동,7호선,9733,1722,2412,1825,1684,5840,37.409522,127.20336
220,삼산체육관,7호선,18905,4049,6513,4969,4120,12248,37.506411,126.742153
221,삼성(무역센터),7호선,19603,220354,59519,74212,169132,39028,37.508844,127.06316
222,삼성중앙,7호선,5285,23852,6902,6915,17006,7029,37.513011,127.053282
223,삼송,7호선,56818,18439,22995,21130,20729,41445,37.653083,126.895558
224,삼양,7호선,6082,2348,3253,3236,1838,4667,37.627165,127.018152
225,삼양사거리,8호선,6597,3005,4044,3884,2470,5079,37.621512,127.02048
226,삼전,8호선,18939,5939,7878,6288,7084,14877,37.50403,127.08904
227,상갈,8호선,17073,6906,7156,5647,6843,12608,37.26181,127.108847
228,상계,8호선,70075,16466,25810,20571,17109,46764,37.660878,127.073572
229,상도,8호선,32564,13906,14899,12803,13428,23764,37.502834,126.94791
230,상동,8호선,31032,21711,17098,18442,21824,29563,37.505781,126.753083
231,상록수,8호선,60462,17397,23569,18549,18368,48222,37.302795,126.866489
232,상봉(시외버스터미널),8호선,34785,14075,14519,12967,15514,26895,37.596362,127.085032
233,상수,8호선,10292,17179,10301,16347,20807,19405,37.547716,126.922852
234,상왕십리,8호선,42202,21705,18620,15257,18498,30334,37.564354,127.029354
235,상월곡(한국과학기술연구원),8호선,21409,7921,8243,6657,6558,13033,37.606377,127.048491
236,상일동,8호선,58227,12721,17645,12247,12946,34545,37.556712,127.166417
237,상천,8호선,593,646,832,692,403,381,37.770246,127.454821
238,새절(신사),8호선,47879,11168,17182,13861,11405,32404,37.591148,126.913629
239,샛강,8호선,4616,18339,6382,6366,13649,6610,37.517274,126.928422
240,서강대,8호선,2914,5334,2991,3092,4392,3003,37.551881,126.935711
241,서대문,9호선,17770,80844,20961,17289,47024,15429,37.565773,126.966641
242,서동탄,9호선,5790,1461,1860,1455,1559,3675,37.195504,127.051672
243,서빙고,9호선,2992,5072,2956,2290,3830,2611,37.519594,126.988537
244,서울대입구(관악구청),9호선,139715,52708,65480,57918,66485,116922,37.481247,126.952739
245,서울숲,9호선,16377,22948,11148,13411,21429,14150,37.543617,127.044707
246,서울역,9호선,15868,42893,20385,19737,34520,18706,37.554648,126.972559
247,서정리,9호선,9875,10392,9288,7214,10907,10711,37.056496,127.052819
248,서초,9호선,20350,84842,29867,26984,55053,17710,37.491897,127.007917
249,서현,9호선,33351,59073,34729,38424,58171,42989,37.385126,127.123592
250,석계,9호선,34312,8913,15017,13435,10628,30206,37.614805,127.065851
251,석수,9호선,33880,14083,13082,9504,12684,22740,37.435047,126.902295
252,석촌,9호선,18832,11019,10122,9906,11209,16557,37.505431,127.106979
253,석촌고분,9호선,15688,6771,7231,5788,6665,12603,37.50264,127.096866
254,선릉,9호선,16325,139403,39685,40252,93417,25336,37.504503,127.049008
255,선바위,9호선,19879,20214,10513,7589,17495,12542,37.451673,127.002303
256,선유도,9호선,15470,20201,8104,7216,15137,11571,37.53802,126.893525
257,선정릉,9호선,6904,34409,9049,10381,23087,8343,37.51098,127.043593
258,성균관대,9호선2~3단계,46314,15555,17909,15258,17043,37861,37.300349,126.97075
259,성수,9호선2~3단계,26047,142974,30596,36516,94445,31483,37.544581,127.055961
260,성신여대입구(돈암),9호선2~3단계,25089,16201,17933,17381,21068,26214,37.592624,127.016403
261,성환,9호선2~3단계,5558,10329,7197,5457,7240,5888,36.916076,127.126964
262,세류,9호선2~3단계,9876,4031,4180,3585,4318,7799,37.245025,127.013222
263,세마,9호선2~3단계,7477,4046,3758,2579,3567,5985,37.187533,127.04318
264,세종대왕릉,9호선2~3단계,733,485,529,493,364,563,37.295309,127.570938
265,소래포구,9호선2~3단계,10683,5166,9993,10464,6918,8711,37.40095,126.733522
266,소사,9호선2~3단계,29350,10616,14296,12311,9951,22094,37.482753,126.79544
267,소요산,9호선2~3단계,4868,3664,9461,8541,4264,2500,37.9481,127.061034
268,솔밭공원,9호선2~3단계,7916,2064,3718,3228,1811,5336,37.656088,127.013252
269,솔샘,9호선2~3단계,22657,3238,7263,5453,3460,14701,37.62124,127.013528
270,송내,경강선,84449,51564,35140,28476,40992,65796,37.4876,126.753664
271,송도,경강선,7745,2627,4067,3459,2755,5581,37.428514,126.657772
272,송정,경강선,20656,10056,10673,9056,9909,15382,37.561184,126.811973
273,송탄,경강선,10082,5524,7158,5422,6175,10199,37.075696,127.054301
274,송파,경강선,25656,12996,12103,9675,10056,18264,37.499703,127.112183
275,송파나루,경강선,10399,5646,5445,5819,6709,10191,37.51049,127.11216
276,수내,경강선,17979,34949,17552,17770,29575,19263,37.378455,127.114322
277,수락산,경강선,41772,13912,18724,15993,13419,31524,37.67785,127.055315
278,수리산,경강선,15393,4236,5799,4302,3386,8201,37.349801,126.925365
279,수색,경강선,2874,9470,2634,2591,6181,2324,37.580842,126.895611
280,수서,경강선,30527,33573,23074,19733,27098,28917,37.487371,127.10188
281,수원,경부선,40848,36170,32570,37643,47871,47341,37.265974,126.999874
282,수원시청,경부선,20076,27067,15649,15892,23437,27055,37.261911,127.030736
283,수유(강북구청),경부선,106382,37872,49214,41723,42369,88657,37.638052,127.025732
284,수진,경부선,15514,6444,8089,6859,5941,10353,37.437428,127.140722
285,숙대입구(갈월),경부선,20025,35158,19552,18091,30045,21980,37.54456,126.972106
286,숭실대입구(살피재),경부선,38357,16612,17675,16955,16796,29981,37.496029,126.953822
287,숭의,경부선,9015,7659,5459,4399,5376,6431,37.460789,126.638297
288,시청,경부선,7847,108599,26033,26113,72523,12226,37.564718,126.977108
