,date,title,contents
0,2016.07.31.,"유통업계 ""서울 강남을 접수하라""",국내 최대 상권 패권 놓고 대격돌 롯데백화점 16년 만에 리뉴얼 공사 현대백화점 천호점도 증축 추진 중 면세점 신규 허가 놓고 롯데 등 도전 ‘서울 강남을 접수해라.’ 국내 최대 상권인 강남지역 ‘패권’을...
1,2016.07.28.,"서울시, 용산역 증축 결정…""문화·상업 중심지로 탈바꿈""","서울시는 ""이 지역은 KTX호남선의 시종착역으로서 이용객 증가와 면세점 입점, 최근 주변 도시환경정비사업 시행으로 상권 변화가 예상된다""고 말했다. 또 증축 연면적의 10%를 공공기여하기로 했으며 △보행연결브릿지..."
2,2016.07.26.,광화문 상권 임대료 2분기에 23% 올라…서울에서 최고,오피스 상권 활성화·청진 지하보도 개통 영향 광화문 일대 상업시설 임대료가 올 2분기에 서울에서 가장 많이 올랐다. 새로 지어진 D타워 등 오피스 상권이 활성화되고 청진 지하보도 개통 등에 따른 영향이다....
3,2016.07.26.,'불꽃 컬러벤치'…서울 자투리 땅 문화·휴식공간으로,서울시와 한화는 공간을 조성한 데서 끝내지 않고 문화행사를 꾸준히 열어 지역상권 활성화와 해외 관광객 유치 효과까지 내고 있다고 서울시는 전했다. 2014년 조성한 이대역 앞 '한화 썸타는 계단'은 홍콩 여행잡지에...
4,2016.07.28.,"재건축 대안, '재개발' 뜬다…하반기 서울·부산 등 2만여 가구",28일 분양업계에 따르면 최근 서울 강남권을 중심으로 하는 재건축 시장이 중도금 대출 규제 및... 대성고·충남여고 등 학군과 대전 지하철 1호선 오룡역 및 중앙로의 대형상권을 누릴 수 있다. 12월에는 대우건설이...
5,2016.07.30.,[주말N] 노보텔 앰배서더 서울 강남 '더 비스트로',"거대 상권이 형성돼 있다. 대로변을 따라 수많은 음식점들이 즐비하며 커피숍, 영화관, 의류매장, 커피숍, 금융기관, 호텔 등이 위치해 있다. 노보텔 앰배서더 서울 강남의 와인 및 다이닝 전문 '더 비스트로(The Bistro)'는..."
6,2016.07.28.,"서울 가까워지는 SRT 노선, 주변 분양단지도 후끈~","주변 상권 확대, 부동산 시장 활기 등으로 집값 상승 등 미래투자가치까지 기대해 볼 수 있다. SRT는 수도권 주요 거점 지역을 중간 정차 없이 운행하기 때문에 이동시간이 짧아 서울 접근성을 한층 더 높였다...."
7,2016.07.29.,"타코벨, 서울 ‘종로점’ 오픈…“신속한 서비스로 소비자 공략”","타코벨이 서울 종로점을 오픈한다. 사진=캘리스코 제공 캘리포니아 스타일 멕시칸 브랜드 타코벨이 서울... 오피스나 학원가는 물론 각종 패션 브랜드 매장과 레스토랑, 여가·문화시설이 공존하는 종로 최대 상권에..."
8,2016.07.28.,서울 지하철 2호선을 타고…재개발아파트 분양 줄달음,"아현·신촌·이대·합정등 하반기 줄줄이 공급 대기 서울에서 노후 주택가를 정비하는 재개발 사업이... 메세나폴리스, 합정ㆍ홍대 상권, 망원동 재래시장 등 주변 상권을 이용하기 편리하다. 아현 1-3구역 재개발인..."
9,2016.07.28.,[매일신문 창간 70돌 2017 대권주자 인터뷰] ④ 박원순 서울시장,"서울시는 ‘서울형 경제민주화’ 종합정책을 가동해 성장의 온기가 시민 모두에게 고르게 돌아가고, 시민 누구나 공정하게 경제활동을 할 수 있는 ‘대동경제’(Weconomics) 환경을 만들어가고 있다. 예를 들어 골목상권..."
