,Unnamed: 0,code,station,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y,07-10,10-17,17-22,commute,Total,com70
0,0,1001,종로2가사거리,275.31720430107526,163.2258064516129,149.15668202764977,169.7626728110599,154.6290322580645,146.65806451612903,37.56976415,126.9877862,219.27150537634407,159.45967741935482,150.64354838709676,369.9150537634408,529.3747311827956,0
1,1,1002,창경궁.서울대학교병원,276.7521685254027,487.5241635687733,190.7079129049389,139.9644184811471,181.1085501858736,37.64758364312268,37.57917886,126.9965202,382.138166047088,165.336165693043,109.37806691449815,491.5162329615862,656.8523986546292,1
2,2,1003,명륜3가.성대입구,257.3457249070632,382.8500619578687,254.16250663834307,224.9060010621349,310.292936802974,119.23271375464684,37.58270882,126.9982902,320.097893432466,239.534253850239,214.76282527881042,534.8607187112764,774.3949725615154,0
3,3,1004,종로2가.삼일교,31.8125,166.36197916666666,108.09263392857144,109.46316964285714,174.04375,100.3578125,37.56858223,126.9875072,99.08723958333333,108.77790178571429,137.20078124999998,236.2880208333333,345.06592261904757,0
4,4,1005,혜화동로터리.여운형활동터,202.93807641633728,276.6245059288537,132.3416149068323,241.5522303783173,108.71146245059288,169.7509881422925,37.58622998,127.0016943,239.7812911725955,186.9469226425748,139.2312252964427,379.0125164690382,565.9594391116129,0
5,5,1006,서대문역사거리,353.4063260340632,203.9756690997567,303.2794577685089,130.31595411887383,332.00145985401457,197.41897810218975,37.56620752,126.9669608,278.69099756690997,216.79770594369137,264.71021897810215,543.4012165450122,760.1989224887036,0
6,6,1007,서울역사박물관.경희궁앞,152.97764227642276,516.6321138211382,192.28789198606276,182.40592334494767,274.89756097560974,91.16463414634148,37.56909809,126.9704199,334.8048780487805,187.34690766550523,183.0310975609756,517.8359756097561,705.1828832752614,1
7,7,1008,서울역사박물관.경희궁앞,85.06026365348399,449.20338983050846,171.46004842615014,133.10653753026634,398.3491525423729,106.07118644067796,37.56933602,126.970442,267.13182674199624,152.28329297820824,252.21016949152545,519.3419962335217,671.62528921173,1
8,8,1009,광화문,257.5067567567568,440.9684684684685,234.28667953667957,237.45945945945945,314.8216216216216,151.47702702702702,37.57005075,126.9752406,349.2376126126126,235.87306949806953,233.1493243243243,582.386936936937,818.2600064350065,0
9,9,1010,광화문,68.40856481481482,325.8969907407407,175.140376984127,197.5446428571429,342.84722222222223,163.10902777777778,37.57029571,126.9780909,197.15277777777777,186.34250992063494,252.978125,450.1309027777778,636.4734126984127,0
10,10,1011,종로1가,86.87378640776699,417.3096008629989,286.4969949144707,228.5677300046232,449.021359223301,184.5915857605178,37.570072,126.981,252.09169363538294,257.53236245954696,316.8064724919094,568.8981661272924,826.4305285868393,0
11,11,1012,종로1가,186.37820512820517,449.9369658119658,200.5934065934066,234.22847985347985,381.1410256410256,166.12692307692308,37.57026661,126.9813906,318.1575854700855,217.4109432234432,273.63397435897434,591.7915598290599,809.2025030525031,1
