,code,station,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y
0,1001,종로2가사거리,275.31720430107526,163.2258064516129,149.15668202764977,169.7626728110599,154.6290322580645,146.65806451612903,37.56976415,126.9877862
1,1002,창경궁.서울대학교병원,276.7521685254027,487.52416356877325,190.70791290493892,139.9644184811471,181.10855018587358,37.64758364312268,37.57917886,126.9965202
2,1003,명륜3가.성대입구,257.3457249070632,382.85006195786866,254.16250663834307,224.9060010621349,310.292936802974,119.23271375464684,37.58270882,126.9982902
3,1004,종로2가.삼일교,31.8125,166.36197916666666,108.09263392857143,109.46316964285714,174.04375,100.3578125,37.56858223,126.9875072
4,1005,혜화동로터리.여운형활동터,202.93807641633728,276.62450592885375,132.3416149068323,241.55223037831732,108.71146245059289,169.7509881422925,37.58622998,127.0016943
5,1006,서대문역사거리,353.4063260340632,203.9756690997567,303.2794577685089,130.31595411887383,332.00145985401457,197.41897810218978,37.56620752,126.9669608
6,1007,서울역사박물관.경희궁앞,152.97764227642276,516.6321138211382,192.28789198606273,182.40592334494772,274.89756097560974,91.16463414634147,37.56909809,126.9704199
7,1008,서울역사박물관.경희궁앞,85.06026365348399,449.20338983050846,171.46004842615014,133.10653753026634,398.3491525423729,106.07118644067796,37.56933602,126.970442
8,1009,광화문,257.5067567567568,440.9684684684685,234.28667953667954,237.45945945945945,314.8216216216216,151.47702702702702,37.57005075,126.9752406
9,1010,광화문,68.40856481481482,325.8969907407407,175.140376984127,197.54464285714286,342.84722222222223,163.10902777777778,37.57029571,126.9780909
10,1011,종로1가,86.87378640776699,417.30960086299893,286.4969949144707,228.5677300046232,449.021359223301,184.5915857605178,37.570072,126.981
11,1012,종로1가,186.37820512820514,449.9369658119658,200.5934065934066,234.22847985347985,381.14102564102564,166.12692307692308,37.57026661,126.9813906
12,1013,종로2가,61.5,182.0382262996942,178.9180865006553,187.66087811271296,316.95137614678896,144.72064220183486,37.57008725,126.9855411
13,1014,종로2가,162.5529411764706,283.07372549019607,192.79932773109243,196.56941176470588,308.568,144.50211764705884,37.57026795,126.986254
14,1015,종로3가.탑골공원,105.95590828924163,161.33774250440916,251.8968253968254,230.86545729402872,378.26719576719574,135.77777777777777,37.57018754,126.989569
15,1016,종로3가.탑골공원,91.11819021237304,347.2179132040628,198.81677878907797,284.76850019786303,267.7623268698061,177.601108033241,37.57038869,126.9899683
16,1017,종로4가.종묘,27.806878306878307,119.45414462081128,131.26455026455025,154.9750566893424,198.30264550264548,64.3899470899471,37.57041688,126.9947287
17,1018,종로4가.종묘,32.857294994675186,263.68583599574015,114.82473756275672,217.36832496576903,104.54568690095846,88.35271565495208,37.57060029,126.995277
18,1019,종로5가.광장시장,84.2239185750636,236.78456318914334,260.4420210832425,290.99491094147584,316.6066157760814,137.78625954198472,37.57071571,126.9988533
19,1020,종로5가.광장시장,52.629893238434164,320.0320284697509,235.26893746822574,246.1799694966955,218.79430604982204,80.92099644128113,37.57090764,126.9993199
20,1021,종로6가.동대문종합시장,68.79349046015713,125.1010101010101,362.72294372294374,189.26984126984127,342.1993265993266,95.0848484848485,37.57091778,127.0034688
21,1022,종로6가.동대문종합시장,89.9337822671156,411.44781144781143,235.96777296777296,352.008177008177,191.09292929292928,99.53468013468013,37.57115181,127.0057094
22,1023,동대문역.흥인지문,203.52313725490194,149.00941176470587,334.5515966386555,249.69042016806722,387.7251764705883,263.40799999999996,37.57228008,127.0134621
23,1037,동대문(흥인지문),236.04124579124579,381.82575757575756,201.29978354978357,268.9184704184704,128.64696969696968,197.82777777777778,37.57216719,127.0124928
24,1041,동묘앞,78.53815261044177,55.81526104417671,230.51979345955252,119.62521514629948,230.47108433734937,111.70542168674697,37.573432,127.017533
25,1044,동묘앞,210.88268608414242,269.06715210355986,178.4722607489598,220.14701803051318,119.63980582524272,135.75728155339806,37.57430372,127.019639
26,1101,경기상고,184.16363636363636,200.71515151515152,224.9714285714286,53.24415584415585,182.80727272727273,30.03272727272727,37.5875739,126.9694326
27,1102,신교동,397.7411003236246,168.86084142394824,292.96809986130376,117.06518723994452,309.94368932038833,76.25825242718447,37.58330295,126.970341
28,1103,경기상고,28.903030303030306,327.56969696969696,83.83636363636364,146.03376623376624,57.70545454545455,157.7309090909091,37.58717108,126.9696701
29,1104,경복고교,142.625,359.5486111111111,210.2172619047619,90.5565476190476,149.02083333333334,52.07083333333333,37.58511248,126.9710437
30,1105,청운중학교,9.319444444444445,175.44444444444446,40.88392857142857,27.97321428571429,17.804166666666667,13.820833333333333,37.58790085,126.9725944
31,1106,자하문고개.윤동주문학관,168.21527777777777,62.729166666666664,344.4910714285714,57.532738095238095,229.8708333333333,23.65416666666667,37.59219358,126.9671282
32,1107,자하문고개.윤동주문학관,11.347222222222221,204.5,39.94047619047619,369.9821428571429,36.137499999999996,237.60416666666666,37.59225741,126.9671677
33,1108,청운중학교,4.798611111111112,111.15972222222223,93.66369047619048,103.4375,13.766666666666666,63.699999999999996,37.58812866,126.9724615
34,1109,경복고교,71.95138888888889,416.6805555555556,168.2827380952381,119.95833333333333,116.33333333333333,110.98333333333333,37.58504593,126.971148
35,1110,통인시장종로구보건소,203.94822006472492,318.8673139158576,248.625520110957,318.621359223301,285.36699029126214,237.61165048543688,37.58033173,126.9711089
36,1111,통인시장종로구보건소,64.69444444444444,433.18402777777777,144.80803571428572,221.3080357142857,178.1833333333333,232.29791666666665,37.58048929,126.971244
