,date,title,contents
0,2017.12.29.,[신년사]정원오 서울 성동구청장,지역상권을 지켜나가는 일도 소홀히 하지 않겠습니다. 사람의 가치를 키우는 희망찬 교육에도 투자를... 삼표레미콘 공장 이전이 차질없이 진행되고 서울숲 일대 마스터 플랜 수립에 우리 구의 의견이 충분히 반영될 수...
1,2017.12.29.,[티브로드뉴스]<서울>[아듀] 숙원 해소 '성동구'...갈등 많았던 '광진구',"삼표산업과 토지소유주인 현대제철, 서울시와 성동구가 4자간 협약식을 갖고 레미콘 공장을 이전하기로... 광진구에선 지난 3월 동부지법이 송파구로 이전함에 따라 구의동 일대 상권이 위기를 맞게됐습니다. 하지만..."
2,2017.12.29.,[신년사]문석진 서울 서대문구청장,"최근 서울시는, 자치구의 지속적인 요청에 따라 시내버스와 마을버스 정류소 간 중복구간 확대, 협소한 도로... 돕고, 상권 재활에 함께 참여하는 분위기를 조성하여 서대문만의 혁신경제 사례를 만들겠습니다. 더불어..."
3,2017.12.28.,‘서울&’ 독자들이 말하는 ‘서울&’,"김씨는 ‘온라인 카테고리가 더 분명하면 좋겠다’는 의견과 ‘다양한 선택지’에 관한 요청을 &lt;서울&amp;&gt;에 전했다. “랜드마크나 대형마트로 상징되는 획일적인 대로변 가게보다, 골목 속 숨은 상권 같은 ‘다양한..."
4,2017.12.26.,[AD]서울 금천구에 지식산업센터 '가산 테라타워' 분양,(자료제공 = 현대엔지니어링) 【서울=뉴시스】 현대엔지니어링이 이달말 서울 금천구 가산동 219-5번지... 또한 인근에 푸르지오시티 오피스텔과 에이스 지식산업센터가 준공을 앞두고 있어 상권 활성화가 기대되는...
5,2017.12.27.,2017년 서울시의회 기획경제위원회를 돌아보다,[tbs 이예진 기자] [앵커] tbs 연말 기획으로 올 한해 서울시의회 각 상임위원회의 활동을 정리해보는... 지역상권을 활성화하려는 방안으로 활용해야 한다고 강조했습니다. 가락몰 이전과 관련해서는 소위원회를 구성하고...
6,2017.12.21.,상가임대차보호법 환산보증금 기준 상향조정…서울 4억→6.1억,그동안 상가임대차보호법은 서울 강남구 신사동 가로수길 같은 국내 최대 상권에 위치한 상가나 유동 인구가 많지 않은 서울 변두리 상권에 자리 잡은 상가나 동일하게 적용해 법의 실효성이 크지 않다는 지적이...
7,2017.12.26.,"서울역 일대 도시재생, 밑그림 확정",한편 서울역 일대는 이미 도시재생 사업 계획이 발표되면서 인프라 개선과 상권 활성화에 대한 기대감으로 인근 아파트 시세가 탄력을 받고 있다. 서울역 인근 공인중개업소에 따르면 내년 1월 입주가 예정된 ‘한라...
8,2017.12.25.,[서울 그집 ‘오래가게’]구하산방…100년 전통 한반도 최초의 필방,"그러다 일제강점기 시절 일본이 매장을 만들고 상권을 형성했다. 그 첫 ‘매장’이 구하산방이다. 구하산방은 1913년 서울역에서 충무로로 넘어가는 길에 있는 진고개, 말 없이 살아도 장화 없이는 못 살 만큼 땅이 질어..."
9,2017.12.18.,"서울시, 사물인터넷 도시 만들기…오늘 '사례발표회'","지난 2월부터 특색 있고 유망한 사물인터넷 새싹기업(스타트업)을 발굴하고 공모 및 수요조사를 통해 선정된 용산구와 서대문구, 은평구, 노원구의 주거·상권지역 및 어린이대공원과 전통시장, 서울로7017..."
10,2017.12.29.,[티브로드뉴스]<서울>[아듀] 강북구 경전철 개통...도봉구는 노점 분쟁 '시끌...,형태경 / 서울시청 도시철도국장 (주변에 대학교가 4개소가 있습니다. 이 대학교와 주변 상권이 어우러져서 지역 발전이 원활히 될 것으로 기대하고 있습니다. ) 경전철 개통은 지역에 호재로 작용했습니다. 경전철이...
11,2017.12.29.,서울 공식 전통시장 1호 '광장시장' [백남우 칼럼],"現 동대문 상권의 시작이자 가장 오래된 재래시장으로 남은 곳, 서울 공식 전통시장 1호 광장시장이다. 80년대까지 한복과 원단 전문시장으로 호황을 누렸던 광장시장 올해로 개점 112년을 맞는 종로구 예지동의..."
12,2017.12.23.,"""종로 뜨고 강남 지고""…희비 엇갈린 서울 상권","올해 서울의 상권 지형도는 한 마디로 '강남의 침체와 종로의 부활'이라고 요약할 수 있다. 압구정로데오, 신사동 가로수길 등 서울의 대표 상권으로 군림하던 강남 상권은 올해 고전을 면치 못한 반면, 익선동처럼..."
13,2017.12.19.,"GBC 신축사업, 서울시 건축심의 조건부 통과",조건으로 서울시 건축위원회를 통과했다. 19일 서울시는 제35차 건축위원회에서 강남구 영동대로에 위치한... 지역 상권의 균형 발전과 더불어 영동대로변 활성화에 기여할 것으로 기대된다. 사업지는 국제교류복합지구...
14,2017.12.27.,[주목! 우리 동네 상권]핫 스팟-핫 플레이스 <16> 서울 마지막 '노른자위' 강...,서울의 마지막 '노른자위'로 불리는 강서구 마곡지구가 새로운 상권으로 눈길을 끌고 있다. 서울시를 동북아 경제중심도시로 발전시킨다는 비전으로 막바지 개발이 한창 진행중인 마곡지구는 향후 서울 서남부권의...
15,2017.12.27.,[티브로드뉴스]<서울>침체된 강서유통단지...특화상권 활성화 추진,최근 서울시 특화상권 활성화지구로 선정되면서 시 예산 등을 지원받게 된 겁니다. 상권 활성화를 위해 강서구는 유통단지 상인과 전문가 등이 참여하는 협의체를 꾸려 활성화 방향을 정할 예정입니다. 이를 바탕으로...
