,date,title,contents
0,2017.03.30.,"[이슈추적]신동빈의 뉴롯데 '주춧돌'…월드타워, 서울의 에펠탑 꿈꾼다",◆잠실 허허벌판에 쌓아 올린 123층 관광보국의 꿈 = 신 총괄회장이 서울의 랜드마크를 짓겠다며 잠실일대의 땅을 사들였을 당시 그룹내 극심한 반대를 겪었다. 당시 잠실은 주건시설과 상권이 전무한 허허벌판이었다....
1,2017.03.29.,'서울365패션쇼' 29일 팡파르…세운상가·서울로7017 등서 개최,"서동록 서울시 경제진흥본부장은 ""시행 2년차를 맞아 서울 365 패션쇼가 서울시 대표 패션문화콘텐츠로서 일반 시민에게 더욱 가깝게 다가가길 바란다""며 ""이 패션쇼가 서울 패션 산업과 지역 상권이 함께 성장 할 수..."
2,2017.03.30.,서울 부동산 시장 판도 바뀐다,전문가들은 현재 서울 상권의 중심은 강남이지만 도시재생사업으로 서울 중심부가 정비되면 상권이 재배치될 가능성이 크다고 내다봤습니다. 앞으로 5년~10년 정도를 내다본다면 도시재생지역이나 정비지역으로 선정된...
3,2017.03.28.,"진안군, 서울 지자체 농툭산물 홍보관 '가락몰' 입점","서울시 송파구에 소재한 지자체 농특산물 황보 판매관 '가락몰'.(진안군제공)2017.3.28/뉴스1© News1 전북... 최적의 상권을 갖고 있다. 이항로 군수는 “전국 지자체와 소비자, 중도매인 등이 가락몰에 많은 관심을 갖고..."
4,2017.03.31.,서울시 서대문구 신촌 도시재생사업 주민 제안 공모,"신촌동은 2014년 12월 서울형 도시재생시범사업 지역 선정 후 2016년 12월 도시재생 활성화계획 확정 고시를 했다. 이에 따라 골목문화를 기반으로 상권, 주거, 공동체를 활성화하는 도시재생사업을 추진하고 있다. 일반..."
5,2017.03.30.,명유석 등 '서울 365-다시·세운 패션쇼' 팡파르,서울시내 곳곳을 돌며 패션쇼를 이어갈 예정이다. 어제(29일) 있었던 '다시·세운 패션쇼'는 종로 세운상가 5층에서 열렸다. 이번 패션쇼를 통해 역사·문화·산업의 랜드마크로 재탄생하는 세운상가를 기념하고 주변 상권...
6,2017.03.30.,"수원시의회 의정발전연구회, 서울 북촌한옥마을 문화탐방","(사진=수원시의회 제공)'수원시의회 의정발전연구회'가 29일 서울 북촌한옥마을 문화탐방을 실시했다.... 골목상권 활성화 등 관련시책 접목 활용도가 높은 지역""이라며 ""관광활성화와 주거환경 보존 등 우수사례는..."
7,2017.03.29.,"[서울경제TV] 오비맥주, 청소년 음주예방 위한 이색 캠페인 전개",/사진제공=오비맥주 [서울경제TV] 주류업계 선도 기업으로서 건전한 음주 문화 확립에 앞장서고 있는... 주요상권을 돌며 ‘청소년 음주 예방 거리 캠페인’을 실시한다. 지난해는 한국스카우트연맹과 공동으로...
8,2017.03.30.,"두타몰, 서울패션위크 맞아 브랜드 연계 ‘두타패션위크’ 열어…할인 이어",동대문 상권 패션의 중심 쇼핑몰인 두타몰이 다음달 1일까지 동대문 디자인 플라자(이하 DDP)에서 개최되는 ‘2017 F/W 헤라서울패션위크’ 기간 동안 ‘두타 패션위크’ 이벤트를 진행한다. 두타몰은 ‘두타 패션위크’...
9,2017.03.27.,서울·경기·부산 등에서 3000가구 이상 복합단지 분양,"있으며 서울 3곳 3536가구, 인천 1곳 3196가구 등이다. 지방은 부산에서만 2곳 5244가구를 선보인다. 3000가구 이상 단지는 규모에서 얻는 ‘랜드마크’ 효과가 크다. 1만명 정도가 거주하다 보니 교통, 상권이..."
