,date,title,contents
0,2017.04.27.,서울 개별주택 땅값 작년보다 5.18%↑…최고가 221억,[그래픽] 서울 개별주택 공시가격 작년보다 5.18%↑ 서울 시내 개별주택 공시가격이 지난해보다 평균 5.... 시는 이를 두고 홍대 주변 상권 확대와 경의선 숲길 조성에 따른 주변 지역 활성화가 영향을 끼쳤다고...
1,2017.04.30.,[경매사냥] 서울 역세권 아파트 인기 꾸준…잠실동 레이크팰리스 135.8㎡ 1회...,"역세권 아파트는 다른 지역으로 이동하기 편리하고 역을 주변으로 형성되는 상권도 이용할 수 있어 실수요자는 물론, 임대수익을 올리려는 투자자들도 많이 찾는다. 지지옥션이 서울 역세권 아파트..."
2,2017.04.26.,"롯데마트, 서울양평점 오픈…1층에 도심 숲 배치 '파격'",롯데마트는 업체간 경쟁이 치열한 서울 서남부 상권에 출점하면서 차별화에 주력했다. 우선 대형마트의 가장 중요한 공간인 1층을 도심 속 숲 공간으로 꾸몄다. 일반 대형마트의 1층이 단순 판매 중심의 쇼핑 공간으로...
3,2017.04.26.,진짜 서울사람은 몇명?…'빅데이터'로 가려낸다,"예를 들어 서울과 다른 지역 간 유입·출 인구 분석, 내·외국인 관광지 이동경로 분석, 상권시스템 유동인구 분석, 교통수요분석, CCTV·가로등 설치 등에 활용된다. 서울 생활인구 통계는 향후 서울시 열린데이터광장..."
4,2017.04.28.,서울 개별주택 공시가격 전년대비 평균 5.18%↑,특히 개별주택공시가격 100억원 내외 초고가 주택의 평균 상승률은 16.3%로 서울시 전체 개별주택 상승률의 3.1배에 달했다. 25개 자치구 가운데는 홍대주변 상권 확대와 경의선 숲길조성에 따른 주변지역...
5,2017.04.26.,마트 안에 공원이? 롯데마트 서울양평점의 파격적 실험,"쇼핑과 휴식을 동시에 충족시키는 ‘자연친화적 라이프 스타일 쇼핑마트’로, 서울 서남부 상권에 승부수를 던진다는 전략이다. 롯데마트는 “27일 서울 영등포구 양평동에 서울양평점을 연다”고 26일 밝혔다...."
6,2017.04.24.,1분기 서울 상가 임대료 전분기比 3% 하락,"24일 부동산114에 따르면 올해 1분기 서울 상권 평균 임대료는 1㎡당 3만2700원으로 전 분기(1㎡당 3만3700원)보다 3.0% 하락했다. 권역별로 도심권역은 종로5가(12.2%)와 종각역(5.6%) 상가 임대료는 올랐으나, 광화문(-2.7..."
7,2017.04.28.,"교통 정체·상권 반발…'서울로7017', 풀지 못한 숙제들",도심 속 '공중정원'이란 기대에 공원과 맞닿은 서울 중림동 일대에는 새로운 상권이 형성되고 있습니다. [주현륭 : 작년 7월에 문을 열었어요. 대부분 여기 주변 가게들이 그쯤 다들 들어오기 시작했어요.] 반면 공원...
8,2017.04.27.,롯데마트‘도심의 숲’콘셉으로 서울 양평점 오픈,"롯데마트 서울양평점이 들어서는 서울 서남부 상권의 경우 코스트코 양평점, 홈플러스 영등포점, 이마트 영등포점, 빅마켓 영등포점 등 반경 3㎞ 안팎에 10여 개의 대형마트가 있다. 이런 치열한 경쟁에서 살아남기..."
9,2017.04.26.,'동네 책방 살리자'…서울 서점 전수조사 후 인증제 도입,"서점 상권 활성화에 관한 사항이 담긴다. 시장은 지역 서점을 지원하기 위해 창업지원, 경영개선 지원, 마케팅 지원, 컨설팅 지원, 장수서점 지원 등을 할 수 있다. 조례는 또 지역 서점 활성화 대책을 심의·자문하는 서울..."
