,date,title,contents
0,2019.11.27.,"헬스케어 스타트업 에스체트, 서울시 데이터 개발사업 기술 자문",사업의 주요 협력 과제는 시민 라이프 스타일 및 소비 트렌드 변화 트래킹 소지역 기반 융합 인덱스 제공 우리마을가게 상권분석 배후지 정보 개발 서울시 소상공인 창업/폐업 지도 및 데이터 지역별 소비특성 정교화를...
1,2019.11.06.,"전국서 커피전문점 가장 많은 곳 서울 강남, 두번째는?","2%는 서울과 경기지역에 집중된 것으로 나타났다. 지난해 기준 커피전문점 창업은 1만4000개, 폐업은 9000개로 폐업보다 창업이 많았으며, 2009년 이후 지속적으로 증가하는 커피전문점 수 만큼 경쟁도..."
2,2019.11.12.,"서울지방보훈청, 제대군인 대상 창업 워크숍 진행","서울지방보훈청 창업지원센터(센터장 배미숙, 이하 서울센터)는 11일, 센터 교육장에서 협동조합 및 사회적... 소상공인이 창업을 하고 약 80만명이 폐업한다""라며 ""현실을 파악하지 못 하거나 트렌드 변화에 대응하지 못해..."
3,2019.11.05.,"서울시장의 日무역전쟁 대처법은..""비난보단 혁신 절실""","이런 상황이 서울시가 새로운 경제의 전기를 마련하는데 주력하고 있는 이유라는 게 그의 설명이다. 박 시장은 우선 ""최근 여러 가지 창업에 관련된 정책을 펴고 있다""며 ""홍릉 바이오메디칼 클러스터 조성 등을 통해..."
4,2019.11.08.,"서울신용보증재단, ‘소상공인지원우수단체’ 대통령표창 수상","▲ 예비창업자를 위한 창업지원패키지부터 ▲ 생계형 소상공인을 위한 1:1경영컨설팅, ▲ 한계에 부딪힌 소상공인의 원활한 폐업과 재기를 돕는 사업정리지원까지, 기업의 상황에 맞는 다양한 프로그램을 통해 서울시..."
5,2019.11.29.,[new프랜차이즈] ②여성요가 전문기업 '아메리카요가',한때 은퇴자가 가장 많이 찾던 창업은 '치킨집'이었다. 많은 사람이 외식 사업에 뛰어들며 국내... 가맹계약해지나 폐업 등 가맹점 사고로 인해 더 이상 가입지점을 이용하지 못할 경우 보장하는 상품으로 SGI서울보증보...
6,2019.11.29.,"프랜차이즈 배부장찌개, 상권 가리지 않는 노하우 제공",않는 창업 아이템으로 관심받고 있다. 최근에는 실제 점주 인터뷰를 통해 항아리 상권(주거 상권)이나 오피스 상권뿐만 아니라 특수 상권에서도 통하는 사례를 보여주기도 했다. 그중 서울상권의 배부장찌개 방배역점...
7,2019.11.27.,영세 자영업자에 맞춤 도움…소상공인시장진흥공단,"공단은 창업에만 맞춰졌던 정책 환경을 개선하기 위해 ‘희망리턴패키지’도 운영하고 있다. 소상공인 생태계 주기를 고려해 만든 희망리턴패키지 정책은 안정적인 폐업을 지원하고, 동시에 취업까지 할 수 있도록..."
8,2019.11.29.,"소액 고기집 업종 변경 전환 창업 아이템 고기원칙, 불경기에도 이어지는 웨이...","국내 외식산업이 여느 업종보다도 높은 폐업률을 기록하고 있는 가운데, '72시간 숙성 항아리 삼겹살'이라는 특색있는 아이템으로 고객의 발길을 끌며 업계 최단기간 60호점을 돌파한 고깃집창업 브랜드가 있다. 바로..."
9,2019.11.29.,"‘토스트카페 마리’, 화제의 중심! 토스트&카페 창업 인기의 선두주자",폐업이 속출하는 중이다. 하지만 이런 불황의 시기가 마치 다른 세상 이야기인 듯 승승장구하고 있는 외식 프랜차이즈 브랜드가 있어 눈길을 사로잡는다. 토스트&amp;카페 창업 브랜드 ‘토스트카페 마리’는 지난 28일 서울...
10,2019.11.20.,채무조정부터 컨설팅까지…자영업자 재기 돕는다,"휴업이나 폐업한 자영업자는 채무조정, 재창업 자금 대출, 경영컨설팅까지 묶음으로 제공하는 개선된... 휴·폐업한 자영업자들의 재도전을 돕기 위한 조치다. 은성수 금융위원장은 20일 서울 중구 신용회복위원회를..."
11,2019.11.21.,자영업자 소득은 줄고 대출만 늘어났다 [일상톡톡 플러스],5일 서울 종로 한 건물에 빈상가 임대를 알리는 글귀가 나붙어 있다. 이제원 기자 문재인 정부 출범 후... 창업 진입장벽이 낮아 주로 서민 자영업자들이 몰려있는 업종이다. 한은의 2분기 예금취급기관 산업별...
12,2019.11.29.,"소액 고기집 업종 변경 전환 창업 아이템 고기원칙, 불경기에도 이어지는 웨이...","국내 외식산업이 여느 업종보다도 높은 폐업률을 기록하고 있는 가운데, '72시간 숙성 항아리 삼겹살'이라는 특색있는 아이템으로 고객의 발길을 끌며 업계 최단기간 60호점을 돌파한 고깃집창업 브랜드가 있다. 바로..."
13,2019.11.21.,"""외식업 경쟁력은 고객 마음을 잘 읽는데서 나와""","오후 서울 양재 엘타워 6층에 위치한 그레이스홀은 외식업 자영업자들로 발 디딜 틈이 없을 정도로 붐볐다.... 한식의 매력을 전파해온 요리연구가 이원일 쉐프는 외식 창업, 업종 변경을 고민하는 자영업자들을 위해 창업..."
14,2019.11.27.,"남양주 왕숙지구, 자족 생태계 갖춘 경제·문화 중심도시로","다음은 박현옥 LH 서울지역본부 지역균형발전단장과의 일문일답. -남양주 왕숙·왕숙2지구 주요 개발구상안을 설명해 달라. ▶남양주 왕숙지구는 경제중심도시를 꾀한다. GTX-B노선을 중심으로 도시첨단산단, 창업지원센..."
15,2019.11.27.,경북경제진흥원 공개채용 경쟁률 44대1,"원스톱 창업 종합상담창구 운영, 소상공인 성장 아카데미, 전통시장 점포 경영환경 개선, 전통시장 마케팅, 사회적 경제 교육과 인식 확산 등의 업무를 맡고 있다. 전창록 원장은 “2018년 전국 자영업 폐업률이 89％로..."
