,date,title,contents
0,2019.04.30.,"서울시 사회적경제, 민&관 어벤져스가 출발합니다!","어려운 서울 소재 사회적경제, 소셜벤처, 비영리조직, 소상공인, 플랫폼노동 등의 창업자(경영자)와 노동자... 그러나 전자는 사망, 폐업 등 극단적 상황에만 지급돼 실효성이 낮고 2015년 기준 가입률이 15.1%에 그치며..."
1,2019.04.30.,"서울 금천구, 소상공인 폐업 및 재기지원 사업 실시","금천구청 지역경제과나 서울신용보증재단 금천지점으로 문의하면 안내받을 수 있다. 유성훈 금천구청장은 ""G밸리 지속성장협의회와 논의를 통해 창업만큼 어려운 폐업으로 고민하는 지역 소상공인들을 돕고자..."
2,2019.04.22.,[Who Is ?] 박원순 서울특별시 시장,"주거환경 개선을 위해 2022년까지 장기 방치된 빈집 1천 채를 사들여 청년 창업공간과 청년 주택 등으로... 책임지는 서울 △폐업, 실직, 빈곤의 두려움 없는 서울 △청년의 꿈을 이루는 서울 △고르게 발전하는 서울..."
3,2019.04.08.,서울 독산동 등 뉴딜사업지 22곳 선정....1.4조 예산 투입,"청년창업 특화거점과 주거·복지지원 거점을 조성한다. 주민이 필요로 하는 주차장, 도서관, 노인복지시설 등 생활 사회간접자본(SOC)도 공급된다. 충남 예산군 예산읍 주교리 일대는 폐업한 목욕탕, 비어있는 정미소..."
4,2019.04.04.,"서울시, 50+세대 대상 공유점포 활용 창업지원 나서",서울시가 50대 이상을 대상으로 새로운 일·창업 모델 모색 및 활로 개척에 나선다. 서울시50플러스재단은... 하지만 2017년 국세통계연보에 따르면 창업 후 3년을 견디지 못하고 폐업하는 비율이 60%에 육박한 것으로...
5,2019.04.09.,서울 금천구 등 도시재생뉴딜 사업지 22곳 선정…2023년까지 1.4조 투입,"청년창업 특화거점과 주거·복지지원 거점을 조성한다. 주민이 필요로 하는 주차장, 도서관, 노인복지시설 등 생활 사회간접자본(SOC)도 공급된다. 충남 예산군 예산읍 주교리 일대는 폐업한 목욕탕, 비어있는 정미소..."
6,2019.04.05.,"서울여대, 어윤선 세종사이버대 교수 초청 창업특강",어윤선 교수가 창업전략에 대한 특강을 하고 있다.  서울여자대학교 산학협력단(단장 허종호 교수)은 4일... 분식은 창업 비중을 가장 많이 차지하고 있는 동시에 폐업률도 가장 높다. 쉽게 할 수 있는 창업은 쉽게 실패...
7,2019.04.08.,"코난테크놀로지, 서울시 우리마을가게 상권분석 챗봇 시범 도입","개·폐업 수(율), 연차별 생존율, 종업원 수 분석 결과 등을 챗봇에서 확인할 수 있다. 특히 지역분석에서는 임대시세도 확인할 수 있어 예비창업자의 의사결정에 도움이 될 것으로 기대된다. 예를 들어 서울시..."
8,2019.04.09.,"코난테크놀로지, 서울시 우리마을가게 상권분석 챗봇 시범 도입","개/폐업수(율), 연차별 생존율, 종업원수 분석결과 등을 챗봇에서 확인할 수 있다. 특히 지역분석에서는 임대시세도 확인할 수 있어 예비창업자의 의사결정에 도움이 될 것으로 기대된다. 예를 들어 서울시..."
9,2019.04.11.,공동주택지 상권 강하다? 이제는 옛말...서울내 상권성장지는,"증가하나 폐업수가 많지 않는 등 소상공인의 생존율이 높았다""고 말했다. 온라인쇼핑과 SNS 발달, 배달문화 확산등으로 서울 주요지역의 상권도 큰 변화를 맞고 있는 것으로 분석됐다. 자료=중소기업연구원 반면..."
