,date,title,contents
0,2019.08.16.,서울 카페 창업 위험지역은 ‘카공족’ 포진한 대학가,16일 한국외식산업연구원에 따르면 올해 1분기(1~3월) 서울지역 커피·음료업의 3년 생존률 42.2%(서울시 우리마을가게 상권분석 서비스 기준)다. 절반 이상이 3년을 못버티고 폐업한단 얘기다. 또 신규 창업 위험도가 높은...
1,2019.08.22.,"서울시민, 서울시의회에 묻는다 ⑦기획경제위원회",한겨레 &lt;서울&amp;&gt;과 (사)시민이 함께 서울시민과 서울시의회가 소통하는 자리를 만듭니다. 서울시의회에는... - 전통시장청년육성사업관련 2년 사업동안 폐업율이 절반가량이었음. 현재는 기존 창업 청년들 임대업만 지원하고...
2,2019.08.16.,'오늘통닭1977' 8월 22일 서울 신촌서 43년 치킨집 운영 노하우 전수하는 사업...,휴업이나 폐업을 고려하는 사례를 쉽게 찾아볼 수 있다. 이러한 창업 불황이 지속되고 있는 가운데... 1977년 서울 수유동에 문을 연 '삼성통닭'이 2011년 '오늘통닭1977'로 이름을 바꾸고 2012년부터 본격적인 프랜차이즈...
3,2019.08.29.,소상공인 창업 생존율 높인다…경남에 신사업 창업사관학교 유치,"멘토링, 창업자금을 패키지로 지원하는 국가 직접 시행사업이다. 그동안 전국 소상공인시장진흥공단 본부가 있는 6개 시·도(서울·부산·대구·광주·대전·경기도)에서만 운영돼 경남도민은 부산에서 교육을 받아야 했다...."
4,2019.08.30.,"[티브로드]<인천> 인천, 소상공인 창업 경쟁력 강화 청신호","2017년 신규사업자 증가율은 10.3%로 경기와 서울보다 훨씬 높고, 전국 평균 5.4%의 2배 가까운 수치입니다. 하지만 준비 없는 창업과 전문성·경영 역량 등 경쟁력 부족아 폐업으로 이어져 개업 후 1년 이내 폐업률은 전국..."
5,2019.08.28.,소상공인 창업의 요람 '신사업창업사관학교'…6개→9개로 확대,"창업사관학교'를 기존 6개에서 9개로 확대한다고 28일 밝혔다. 신사업창업사관학교는 기존 6개 광역권(서울... 신사업창업사관학교는 소상공인 간 경쟁이 심화돼 수익성이 악화되고, 빈번한 창업과 폐업이 반복되는..."
6,2019.08.30.,"[민선 7기 구청장에게 듣는다 - 이승로 성북구청장] “삼양로, 멀리서도 일부...","30여년 간 불법영업이 만연했던 삼양로도 예술이 살아 숨쉬는 청년창업 거리로 거듭나고 있다. 이 구청장은 “민-관-경이 합동 단속을 벌여 37개 불법 유해 업소 중 10여곳이 자진폐업했고, 나머지는 업종 전환과 폐업을..."
7,2019.08.29.,하늘색 점퍼와 운동화로 골목 누비며 유해환경 개선,&lt;서울&amp;&gt;은 21일 불법 유해업소 단속이 이뤄지는 성북구 길음동 삼양로에서 이 구청장을 만나 지난 1년의... 구는 폐업한 건물을 사거나 임대해 청년 창업 공간으로 만든다. “처음엔 환경 정비에 초점을 맞췄는데 주민들이...
8,2019.08.19.,관광 분야 혁신 창업 지원,"부문에, ▲ 창업 3년 이상 사업자라면 관광벤처사업 부문에, ▲ 폐업 경험이 있는 사업자는 재도전 부문에... 6./서울) 개최될 예정이며, 이번 공모와 관련한 자세한 내용은 누리집에서 공모요강을 참고하거나, 공모전..."
9,2019.08.26.,"전두환 프로젝트 1화 : 전두환 일가, 차명으로 '프랜차이즈 고깃집' 창업","그리고 이어 서울 은평구 응암동, 경기도 의정부시, 전라북도 전주에 연이어 가맹점을 열었다. 하지만 이들 중 2곳은 이미 폐업한 상태로 확인됐고, 현재는 경기도 일산의 본점과 전주점만 성업중이었다. 프랜차이즈..."
