,date,title,contents
0,2021.01.31.,野 서울시장 후보들 주말 강행군…文정부 경제실정 부각,4월 서울시장 보궐선거에 나선 야권의 예비후보들은 주말인 31일에도 강행군을 하며 표심잡기에 총력을... 오세훈 예비후보는 명동거리로 나가 지역 상권의 애로사항을 청취했다. 오 후보는 여행·관광업계 종사자들과...
1,2021.01.28.,백화점 뺀 '더 현대 서울'...이름도 공간도 파격,"또 서울 마포, 공덕, 영등포부터 일산 등 수도권에서 1시간 내 접근이 가능한 장점을 앞세워 서울 서부권을 아우르는 핵심상권이 될 것으로 보인다. 먼저 현대백화점은 점포명에서 과감히 '백화점'이라는 단어를 과감히..."
2,2021.01.27.,'상암 롯데몰' 서울시 심의 통과…연내 착공 예정,"총 면적 2만644㎡에 달하는 이 부지에 롯데백화점, 롯데마트, 롯데시네마 등이 어우러진 서울 서북권 최대 쇼핑단지가 조성될 계획이었지만 '골목상권 보호'가 발목을 잡았다. 망원시장 등 인근 상인들이 강력 반대하고..."
3,2021.01.27.,"서울시, '1인 자영업자 고용보험' 납부액 30% 3년간 지원",서울시가 코로나19 장기화로 힘든 시간을 버티고 있는 골목상권 상인들을 위해 1인 자영업자 대상 고용보험 납부액의 30%를 3년간 지원한다. 27일 서울시에 따르면 '1인 자영업자 고용보험' 지원은 중소벤처기업부에도...
4,2021.01.27.,"북한산 진입로 550m 구간, 서울시 '특화거리' 조성","봉황각, 북한산 우이구곡 등 2022년 3월부터 새롭게 단장 ▲  서울지하철 북한산우이역~북한산 진입로 550m... 이 구간은 북한산 등산객들이 산에 오르기 위해 어김없이 거쳐가는 곳이지만, 상권이 낙후돼 있다는 평가를..."
5,2021.01.27.,서울 최고 공실률 기록한 이태원,27일 한국부동산원의 발표에 따르면 서울 대표 상권으로 꼽히는 이태원·명동·광화문 등에서는 상가 4∼5곳 중 1곳이 문을 닫는 등 코로나19로 인한 충격이 컸다. 사진은 이날 중대형 상가 공실률이 26.7%를 기록...
6,2021.01.29.,서울 중구 황학동 '힐스테이트 청계 센트럴' 분양,또한 이미 활성화된 서울중앙시장 상권과 연계선상에 위치하고 있어 기존 상권을 이용하기 위한 유동인구를 자연스럽게 끌어들일 수 있다. 6000가구 이상의 주거수요도 배후로 두고 있다. 단지 내 입주민을 고정수요로...
7,2021.01.29.,서울 중심상권 폐업 속출,"29일 오전 서울의 핵심 상권 중 하나인 중구 명동 거리의 한 점포가 폐업해 정리 공사를 하고 있다. 이날 전국의 신종 코로나바이러스 감염증(코로나19) 환자는 469명을 기록, 3차 대유행 이후 확진자 내림세가..."
8,2021.01.26.,"박영선 ""서울, 21분 컴팩트 도시로""",박 전 장관은 “21분 컴팩트 도시는 인구 50만 명을 기준으로 21개 컴팩트 다핵분산도시를 만들어 중앙집중형 도심을 분산하는 게 핵심”이라며 “서울 각 지역의 상권을 활성화하고 도심 집중의 단점이 보완된 편안한...
9,2021.01.27.,코로나發 상가 침체…서울도 절반 이상 권리금 못 받는다,"상권 침체로 인해 임대료는 물론 권리금도 하락세다. 지난해 4분기 동안 중대형 상가는 0.51%, 소규모 상가는 0.53%씩 하락했다. 집합상가도 0.43% 떨어졌다. 서울도 중대형 상가가 전 분기 대비 0.71% 하락했다. 명동(4...."
10,2021.01.27.,"서울시, '1인 자영업자 고용보험' 납부액 30% 3년간 지원",서울시가 코로나19 장기화로 힘든 시간을 버티고 있는 골목상권 상인들을 위해 1인 자영업자 대상 고용보험 납부액의 30%를 3년간 지원한다. 27일 서울시에 따르면 '1인 자영업자 고용보험' 지원은 중소벤처기업부에도...
