,date,title,contents
0,2018.03.30.,"서울, 부산 핫플레이스로 떠오르는 서점","그 해부터 회사의 서울 이전으로 문을 닫은 2008년까지 망미동의 공장은 45년간 쉴새 없이... 2호선과 6호선이 만나는 자리, 주상복합 아파트 지하의 상권, 젊음의 거리 홍대 입구와도 가깝고 물론..."
1,2018.03.27.,"서울 세운상가 인쇄골목, 창작인쇄산업 거점된다","진양·인현상가 꽃상가 활성화도 이 일대 상권 활성화 방안의 하나로 추진된다. 3층 보행데크에 꽃을 주제로 한 길을 설치한다. 서울시립대 원예학과, 꽃상가 상인회, 외부 전문가가 협업해 꽃상가 활성화 계획을..."
2,2018.03.30.,"서울시, 저층주거지도 스마트시티 추진","쓰레기 집하장에 센서를 설치해 쓰레기가 차면 적시에 수거를 한다거나, 유동인구를 파악해 상권 전략을 수립하는 일도 가능하다. 서울시는 그간 여러 유형의 도시재생 사업을 벌여 오기는 했지만, 스마트시티형은 없다...."
3,2018.03.28.,"이재명, ‘경기북부 민생투어’…“경기도 서울 변방 아니다”","골목상권에도 좋다는 건 누구나 알고 있지만, 관료들이 잘 안 움직인다”며 “여러분들이 지역화폐를... 이에 앞서 의정부시 경기도북부청사에서는 기자들과 만나 “경기지사가 되면 서울외곽순환도로의 명칭을..."
4,2018.03.18.,"박영선 ""자연·경제·문화 숨쉬는 서울 만들겠다"" 시장 출마선언","아울러 서울역에서 한강대로 방향으로 인공지방을 조성해 보행성을 강화함으로써 상권을 활성화하겠다는 계획도 제시했다. 그는 ""변화와 혁신은 새로운 비상을 위한 서울의 날개""라면서 ""정의롭고 깨끗한 더 파란..."
5,2018.03.28.,서울 도심에 대형 VR 테마파크 '속속',예정인 '몬스터VR'까지 서울 주요 상권에서 관람객들 맞이에 나선다. 판타VR 동대문(출처=게임동아) 먼저 가상현실콘텐츠산업협회(회장 김동현) 주도로 설립된 '판타VR 동대문'은 동대문역사문화공원역 앞에 자리한...
6,2018.03.29.,"신세계, 서울 자양동 부츠·대전 둔산동 시코르 동시 오픈","시코르 8호점인 ‘대전둔산점’은 서울 외 지역에 들어서는 첫 로드샵이자 충청권에 최초 입점하는 시코르 매장이다. 대전시 최대 중심 상권 중 하나인 둔산동에 들어서는 이번 매장에선 나스, 어반디케이, 맥..."
7,2018.03.21.,"서울시, 장기안심상가 리모델링 비용 최대 3000만원 지원","[ 임대료 인상율 5% 이하로 임차인과 상생협약 체결 후, 4월 13까지 신청가능] 서울시는 임차인이 장기간(5년... 특히 장기안심상가 보다 점포 임대료 상승이 이익이 된다고 생각하는 주요상권 건물주를 참여시키는 것이..."
8,2018.03.25.,"롭스, 서울 이태원에 100호점 개장",롯데쇼핑의 헬스앤드뷰티(H&amp;B) 스토어 ‘롭스’ 100번째 매장이 서울 이태원에 문을 열었다. 롯데쇼핑은... 이태원이라는 상권 특성에 맞게 외국인 고객을 대상으로 한 상품군을 늘렸다. 외국인 관광객을 위해 컵밥...
9,2018.03.27.,[서울경제TV] 지방도시 30년내 40% 소멸··· 도시재생 본격 착수,"[서울경제TV] [앵커] 정부가 지방 중소도시 인구감소, 고령화 등으로 앞으로 30년 내 전국 읍면동 3,500곳 중... 지역 특색에 맞게 역사·문화재생, 건축·경관재생, 지역 상권 재생, 농어촌재생 등 100곳에서 지역특화..."
