,date,title,contents
0,2018.10.31.,서울시 영등포구 영등포로터리 고가 철거 공고,평면교차로 전환·상징공간 조성 등 …교통체증 완화 및 주변환경 개선 아시아투데이 정기철 기자 = 서울... 구는 고가차도가 철거되면 교통체증이 완화되는 것은 물론 주변 상권이 되살아나 지역경제 활성화에도 도움이...
1,2018.10.30.,"서울, 유흥업소 7% 줄고 헬스클럽 82% 늘었다","삼성카드, 2년간 강남·홍대 등 주요 상권 7곳 분석 2015년부터 지난해까지 2년간 강남역·홍대앞 등 서울 주요 상권의 식당과 유흥업소는 줄어든 반면 헬스클럽은 80% 이상 급증한 것으로 나타났다. '삶의 질'을 중시하는..."
2,2018.10.30.,서울도심 고밀도 개발 수혜지 어디…강북 준주거·상업지역 몸값 쑥쑥,국토교통부와 서울시가 도심 주택공급 확대를 위해 상업지역과 준주거지역의 용적률 상향과... 이상혁 상가정보연구소 연구원은 “기존 낙후된 지역이 도시재생을 거치면서 살아날 가능성이 있지만 상권만으로 집값을...
3,2018.10.31.,'마싰는끼니' 목동 직영점 오픈...서울 상권 공략 본격화,이투데이=유현희 기자 | 간편식 전문 외식 프랜차이즈 ‘마싰는끼니’가 목동점을 오픈하고 서울 상권 공략을 본격화한다고 31일 밝혔다. 마싰는끼니는 내달 중에 목동 직영점을 오픈하고 그동안 직영점으로 운영하던...
4,2018.10.30.,[조간브리핑] 서울교통공사 직원 늘었는데 노조원은 줄었다…왜?,2015년부터 지난해까지 2년간 강남역과 홍대앞 등 서울 주요 상권의 식당과 유흥업소는 줄어든 반면 헬스클럽은 80% 이상 급증한 것으로 나타났습니다. '삶의 질'을 중시하는 문화가 자리 잡으면서 먹고 즐기기보단 자기...
5,2018.10.27.,"이낙연 총리 ""남대문 시장, 서울의 얼굴""","만나 상권을 위해 노력해준 데 대한 감사의 뜻을 전했다. 이 총리는 상인들과의 자리에서 ""남대문시장은 서울의 얼굴 중 하나""라며 ""전통을 살려가면서 현대적인 편리함을 더하는 방향으로 발전시킬 필요가 있다""고 했다...."
6,2018.10.30.,집 사? 말아? 전문가에게 듣는 서울 부동산 전망,상권 : 기존 상권이 확장되거나 테마 상권이 형성될 입지를 주목하자 백화점 등 주거지역에 플러스 되는 상권이 가장 좋겠지만 서울엔 더 이상 대형 유통시설이 들어설 부지가 없다. 서울 경전철 우이~신설선 개통으로 생긴...
7,2018.10.30.,"마는끼니, 목동 직영점 오픈…서울 상권 노린다","마는끼니 매장 이미지/사진=마는끼니 제공 [미디어펜=나광호 기자]간편식 전문 외식 프랜차이즈 '마는끼니'가 목동에 직영점을 오픈, 본격적으로 서울 상권을 진출을 모색한다. 마는끼니는 서울 가맹사업 확장을 위해..."
8,2018.10.26.,"[단독] 서울시, 내년부터 동별 상가 임대료 공개한다","[저작권 한국일보] 그래픽=김경진 기자 서울시가 소상공인정책연구센터를 설립해 ‘빅 데이터’를 활용하는 방식으로 자영업 동향과 상권을 분석하고, 내년부터 424개 동별 상가임대료 추이 등과 함께 제공하는 방안을..."
9,2018.10.30.,"마싰는끼니, 11월 목동점 오픈…서울 상권 공략 본격화","마싰는끼니 매장 이미지 ⓒ 최고식품 (시사오늘, 시사ON, 시사온= 박근홍 기자) 간편식 전문 외식 프랜차이즈 마싰는끼니가 서울 상권 공략에 본격적으로 나선다. 마싰는끼니는 서울 지역 가맹사업 확장 차원에서 오는 11월..."
10,2018.10.31.,현대백화점그룹 면세사업 첫 발...11월 1일 서울 최적 입지 '오픈',현대백화점그룹이 서울 강남 코엑스 단지내에 시내 면세점을 열고 면세점 사업에 첫 발을 내딛는다.... 아울러 코엑스 일대 상권은 현대차그룹의 글로벌 비즈니스센터(GBC) 건립과 잠실종합운동장 일대 MICE 복합 조성...
11,2018.10.30.,"11월, 서울 재건축·개발 물량 올해 가장 풍성",공세 서울시내 아파트 전경 (사진=연합뉴스) [베타뉴스=최천욱 기자] 내달 서울에서 올 들어 가장 많은... 1호선 중동역을 걸어서 이용 가능해 지하철 이용이 쉽고 가까운 부천역 상권을 이용할 수 있어 생활이...
12,2018.10.24.,서울 캠퍼스타운 내년 32곳으로 확대…대학-지역사회 상생 모색,"동양미래대에선 시각정보디자인과 교수와 학생들이 나서 고척스카이돔 주변 상권 활성화에 힘을 보탰다. 23개 상점을 브랜딩하고 간판, 메뉴판, 포장 용품 디자인을 개발했다. 서울간호여대는 보건의료 전문인력..."
