,date,title,contents
0,2018.09.26.,평당 1억! 서울 금싸라기 땅 깔고 앉은 국가기관들,"최근에는 가회동 한옥마을이 서울의 대표 관광명소로 떠오르면서 주말, 주중 할 것 없이 몰려드는 관광객들로 상권도 활기를 띤다. 더욱이 4~5년 전부터 부동산 값이 천정부지로 치솟으면서 한옥마을의 주택..."
1,2018.09.28.,마리오가 가상현실속으로… 서울 강남에 ‘VR 스테이션’ 생긴다,"현대IT&amp;E 제공손오공, 마리오 등 익숙한 만화 속 캐릭터들이 가상현실(VR) 속 게임이 되어 서울에... 현대IT&amp;E 관계자는 “현대백화점 신규 출점 점포와 지방 광역 상권을 중심으로 VR 스테이션을 오픈할 계획”..."
2,2018.09.28.,[투데이 현장] '텅텅' 빈 상가…서울 핵심 상권마저 줄폐업,서울 강남이나 종로 같은 이른바 황금 상권도 예외가 아니었습니다. 임대료는 여전히 비싼데 장사는 안 되다 보니 폐업이 잇따르고 있습니다. 김수산 리포터가 현장에 다녀왔습니다. ◀ 리포트 ▶ 서울 강남구...
3,2018.09.27.,"현대IT&E, 서울 강남역에 국내 최대 규모 'VR 스테이션' 오픈",많은 서울 강남역 인근에 국내 최대 규모의 'VR 스테이션'을 오픈할 계획이다. 또한 현대아울렛과 유동 인구가 많은 전국 주요 광역상권을 중심으로 오는 2020년까지 10개 이상의 VR 스테이션을 오픈할 계획이다....
4,2018.09.27.,"한라, 630억 규모 서울 신사동 복합건물 신축공사 수주","© News1 한라는 630억원 규모 서울 강남구 신사동 복합건물 신축공사 도급 계약을 체결했다고 27일... 또 건물 반경 500m 안에 유명 상권인 가로수길, 세로수길이 위치해 있으며 병원 및 쇼핑몰, 음식점 등이 밀집돼..."
5,2018.09.30.,"""인천은 평양~서울 기착지였다""… 옛길 복원사업 필요성 수면위로",인천이 평양과 서울의 배후지이자 평양과 서울 상권의 중심지 역할을 했다는 얘기다. 1872년 평양에서 태어난 김란사 애국지사는 유관순 열사의 스승으로 알려진 인물이다. 개항기 인천에서 사법·외교 기능을 했던 인천...
6,2018.09.29.,코리아세일페스타 서울 위주 행사 한계 노출...한강서 프랜차이즈 할인전,소비자가 코세페 홈페이지를 접속해도 5대 상권으로 안내된 곳은 명동 강남 삼성역 홍대 동대문 등 서울 뿐이다. 29일부터 30일 양일간 반포 한강공원에서 20여 개 프랜차이즈 브랜드의 제품을 할인가로 구입할 수...
7,2018.09.28.,서울서 가장 약국하기 힘든 지역은 강남과 송파?,기본적으로 서울 전체적으로 약국 수가 감소했지만 특히 구도심 지역들의 경우 상권 쇠락과 재개발 등의 영향을 크게 받은 것으로 파악됐다. 반면 강남과 송파 등 지역은 약국이 늘긴 했지만 개·폐업이 상대적으로...
8,2018.09.28.,<김순환 기자의 부동산 깊이보기>서울 집값 급등과 암울한 혁신도시,이 같은 이직 러시는 대부분 혁신도시가 고층빌딩 등 화려한 외관과는 달리 교육·편의시설은 물론 상권 등이 제대로 형성되지 않았기 때문입니다. 공조직 엘리트의 대부분이 가족은 서울이나 수도권에 두고 ‘홀몸...
9,2018.09.26.,"서울 영세업체 50%, 최저임금인상 충격 월30만원 미만","영세 소상공인의 경영상 어려움을 해결하기 위한 서울시의 역할을 묻자 공정시장 질서 확립, 소상공인지원센터 확대, 지역상권 활성화, 영세 소상공인 보증규모 확대, 자영업 지원 강화 등이 꼽혔다. 서울연구원은..."
10,2018.09.28.,"[티브로드]<서울>성동구 ""상가임대차보호법 통과 환영""",아울러 현재 국회에 계류 중인 지역상권 상생 및 활성화에 관한 법률안이 통과될 수 있도록 여러 지자체들과... 지역상권 상생 및 활성화에 관한 특별법도 조속히 제정될 수 있도록 다른 지자체와 함께 협력해 나갈...
11,2018.09.28.,2018 코리아세일페스타 서울 위주로 지역은 불만...프랜차이즈 할인전마저 한...,소비자가 코세페 홈페이지를 접속해도 5대 상권으로 안내된 곳은 명동 강남 삼성역 홍대 동대문 등 서울 뿐이다. 29일부터 30일 양일간 반포 한강공원에서 20여 개 프랜차이즈 브랜드의 제품을 할인가로 구입할 수...
12,2018.09.20.,"신한카드, 서울시·신한은행과 빅데이터 업무협약 체결",내·외국인 소비데이터와 공공데이터를 분석해 상권·젠트리피케이션 등을 분석하고 ‘서울시 우리마을가게 상권분석서비스’ 정교화 작업도 추진된다. 또 신한카드의 ‘빅데이터서베이’ 시스템으로 업종별 체감경기...
