,date,title,contents
0,2020.12.17.,"중소벤처기업진흥공단 서울본부 본부장 채무석, 동반성장위원회 위원장상 수상","이밖에도 결혼이민여성 중소기업 취업매칭, 청년창업의 활성화를 도모하였으며, 시니어들 및 폐업한 대표에게 재창업을 통한 회생의 기회를 제공하였다. 아울러, 채 본부장은 청년창업활성화를 위한 서울청년창업사..."
1,2020.12.07.,'대학 주도의 청년창업 발전방향 탐구' 서울 동북부 창업지원 포럼 개최,서울창업디딤터를 수탁 운영하고 있는 '광운대학교'는 광운대학교 80주년 기념관 대강당에서 '대학 주도의... 포럼 2부 행사에서는 청년창업가 특강으로 ㈜업드림코리아(이지웅 대표)가 참석하여 '아름다운 폐업을 꿈꾸는...
2,2020.12.08.,"광운대학교, 서울 동북부 창업지원 포럼 개최",서울창업디딤터를 수탁 운영하고 있는 ‘광운대학교’는 지난 2일 광운대학교 80주년 기념관 대강당에서... 포럼 2부 행사에서는 청년창업가 특강으로 ㈜업드림코리아(이지웅 대표)가 참석하여 &lt;“아름다운 폐업을 꿈꾸는...
3,2020.12.30.,대한민국 치킨의 흥망성쇠,"'치킨 전쟁'의 정도는 도시와 농촌으로도 구분해 볼 수 있는데요, 도시지역인 서울 마포구와 농촌 지역인... 신규 창업으로 이어졌습니다. 지역 간, 도-농간 자영업자들의 경쟁 상황, 어려움 등도 치킨집 휴폐업..."
4,2020.12.31.,무너지는 은퇴 후 ‘기승전 치킨집’···믿을건 아파트?,"서울에서 아파트값이 가장 많이 오른 곳은 구로구로 2.56%의 상승률을 기록했다. 그 뒤를 강북구(2.05%), 노원구(2.01%) 등이 이었다. 한 전문가는 “예전에는 은퇴 후 퇴직금과 주택 판 자금을 모아 창업 전선에 뛰어..."
5,2020.12.30.,"중기부 ""내년 소상공인에 총 4.2조 지원 역대 최대…디지털화 집중""",폐업 부담 완화와 신속한 재기를 지원하는 '희망리턴패키지' 사업을 420억원에서 691억원으로 확대했다. 특히 업종전환·재창업 소상공인에게 필요한 사업화 비용 일부를 지원하는 예산 120억원도 신설했다. 마지막으로...
6,2020.12.31.,"[새해가 무서운 사람들] ④ ""발버둥칠수록 더 깊은 수렁빠졌다""… 버틸 힘도 ...",많은 서울의 소형 상가 공실률은 2분기 4.2%에서 5.7%로 급증했다. 이 같은 올해 3분기 공실률은 관련 통계가 이뤄진 2014년 이후 최대 수치다.  지난달 소상공인연합회가 조사한 결과 소상공인 10명 중 7명이 폐업을 고민...
7,2020.12.30.,"울산지역 여성-남성 사이 고용격차, 왜?",그다음에 창업에 관련 도움을 찾기 위해서 또는 개인의 역량을 개발하여 사회참여를 위한 다양한 활동을 하기 위해서 저희를 찾아주셨는데요. 그중에 기억에 남는 사례로 결혼과 동시에 남편은 울산에 그리고 아내는 서울...
8,2020.12.31.,"최용덕 시장 ""마부작침(磨斧作針) 자세로 더 좋은 동두천 만들것""","경기도 일자리재단은 일자리 정보 제공, 직업교육 및 창업지원 등을 하는 기관으로, 200여명이 재직 중이며... 중 폐업 희망 돈사 3개소에 대하여 폐업 보상을 완료하였고, 2020년에는 경기도 특별조정교부금 8억원과..."
9,2020.12.28.,소상공인 절반 '빚잔치'…번돈은 평균 3300만원 불과,"사업체당 평균 창업 준비기간은 10.2개월, 평균 창업비용은 1억 200만원으로 집계됐다. 이 중 본인... 수도권에 ‘사회적 거리두기’ 2.5단계가 시행 중인 지난 18일 서울 마포구 홍대 인근 폐업 상가에 임대 안내문이..."
